id,title,genre,language,duration_mins,description
1,Raat Ka Rahasya,thriller,Hindi,8,A seasoned detective named Vikram Singh investigates a mysterious disappearance in old Delhi. As clues emerge from forgotten alleys he realizes the case connects to his own haunted past.
2,The Silent Shore,romance,English,12,Two strangers meet on a deserted Goan beach after missing the last ferry. Stranded overnight they share secrets they have never told anyone and discover that loneliness can end in unexpected places.
3,Kaala Saya,horror,Tamil,6,A village near Madurai is plagued by a shadow that moves against the light. A folklore professor arrives to debunk the myth but quickly realizes some stories are not meant to be explained.
4,Naya Safar,motivational,Hindi,10,After losing his startup Rohan boards a random train with no destination. Conversations with fellow passengers across three days rebuild his belief that failure is just a detour not a dead end.
5,The Last Recipe,drama,English,9,An aging chef in Chennai receives a letter from her estranged daughter days before her restaurant closes forever. She spends one final night cooking every dish that marked their broken relationship.
6,Andhere Mein Roshni,thriller,Hindi,7,A power outage traps five strangers in a Mumbai apartment elevator. As hours pass each person reveals a secret and one of them may not be who they claim to be.
7,Valaiyum Vaanam,romance,Tamil,11,A radio jockey in Coimbatore falls for a listener who calls every night but refuses to meet. When she finally tracks him down the truth is more complicated than a simple love story.
8,Second Chance,motivational,English,8,Maya was fired from three jobs in a year. This is the story of how she turned rejection letters into a business that now employs fifty people and why she keeps every rejection on her office wall.
9,Bhoot Bangla,horror,Hindi,5,Four college students dare each other to spend a night in an abandoned haveli in Rajasthan. By midnight only three are certain they are still alone in the building.
10,Ek Chup Sau Sukh,drama,Hindi,13,A retired schoolteacher in Varanasi decides to stop speaking for thirty days. His silence forces his family to listen to each other for the first time in years.
11,The Algorithm,thriller,English,9,A data scientist discovers a pattern in missing persons reports that her company's AI flagged and buried. Following the trail puts her career and her safety at risk.
12,Mazhai Naalil,romance,Tamil,8,A florist and an architect are paired by a wedding planner as temporary partners for a destination event in Ooty. Neither expects a week of monsoon rain and close quarters to change everything.
13,Wapas,motivational,Hindi,11,After fifteen years abroad Priya returns to her hometown in Bihar with a degree and big plans. What she finds is messier and more beautiful than anything she imagined from a distance.
14,Whispers in the Ward,horror,English,7,A night nurse on a pediatric ward begins hearing a child humming in the empty room at the end of the hall. The hospital records show that room has been sealed for eleven years.
15,Teen Dost,drama,Hindi,10,Three childhood friends reunite at a school reunion after twenty years. Over one long evening they confront the lie that split them apart and decide whether the friendship is worth saving.
16,The Confession,thriller,English,6,A priest receives a confession from someone who claims they will commit a crime tomorrow. Bound by silence he must find a way to stop it without breaking the seal of the confessional.
17,Kaalai Mazhai,motivational,Tamil,9,A young farmer in Thanjavur refuses to sell his land to a real estate developer despite mounting debt. The story of one monsoon season that changed the fate of his entire village.
18,Night Shift,drama,English,8,Three nurses on the overnight shift in a Chennai hospital share stories during the quiet hours between 2 and 4 AM. What they reveal changes how each one sees the next morning.
19,Sahara,romance,Hindi,12,A travel journalist is assigned a story on solo female travel. Her reluctant guide is a man who stopped believing in journeys after a personal loss. The desert has other plans.
20,The Puppeteer,horror,Tamil,8,A street puppeteer in Thanjavur notices his puppet moving on its own during performances. When he investigates the puppet's origin he uncovers a story of grief and revenge spanning two generations.
21,Boundary Line,thriller,English,10,Two athletes competing for a single Olympic spot are forced to train together after their coach is hospitalised. Someone is sabotaging the training and each one suspects the other.
22,Ghar Ki Yaad,drama,Hindi,7,A migrant worker in Surat records voice messages for his daughter every evening but never sends them. This is the story told through those unsent messages over one year.
23,Uyir Meetpu,motivational,Tamil,10,A marine biologist returns to her coastal hometown to fight a corporation threatening the reef. She has thirty days a limited budget and one ally: the fishermen who taught her to swim.
24,The Inheritance,thriller,English,11,A woman inherits her grandfather's house and finds a locked room containing letters addressed to a name that matches hers but written sixty years before she was born.
25,Ek Baar Phir,romance,Hindi,9,Two ex-colleagues who ended badly are booked into the same work retreat by mistake. Forced proximity over four days in the hills reopens questions neither of them had finished answering.
